Country Name,Country Code,2019,2020,2021,2022
United States,USA,21380.97612,21060.47361,23315.08056,25462.7
China,CHN,14279.96849,14687.74356,17820.45934,17963.17052
Japan,JPN,5117.993853,5048.789596,5005.536737,4231.141202
Germany,DEU,3888.226036,3889.668895,4259.934912,4072.191736
India,IND,2835.606242,2671.59539,3150.306834,3385.089882
United Kingdom,GBR,2857.057848,2704.60916,3122.480346,3070.667732
France,FRA,2728.870247,2639.008702,2957.879759,2782.905326
Russian Federation,RUS,1693.114994,1493.075887,1836.892076,2240.422438
Canada,CAN,1743.725184,1647.598402,2001.486745,2139.840024
Italy,ITA,2011.302199,1897.210467,2114.355757,2010.431598
Brazil,BRA,1873.288159,1476.107292,1649.622972,1920.095561
Australia,AUS,1392.218528,1326.944628,1552.703152,1675.418665
"Korea, Rep.",KOR,1651.422932,1644.312785,1810.955871,1665.245539
Mexico,MEX,1269.009572,1090.514967,1272.838811,1414.187194
Spain,ESP,1394.320055,1276.962686,1427.380681,1397.509272
Indonesia,IDN,1119.099871,1059.054843,1186.505456,1319.10022
Saudi Arabia,SAU,838.5647056,734.271184,868.5858715,1108.148978
Netherlands,NLD,910.1943476,909.7934667,1011.798853,991.1146355
Turkiye,TUR,759.9348044,720.2888118,819.0344843,905.9878241
Africa Western and Central,AFW,822.5383936,786.4600354,844.4597222,877.8632849
Switzerland,CHE,721.3691127,739.9136198,800.6401554,807.7060354
Poland,POL,596.0584731,599.4427836,679.4419006,688.176606
Argentina,ARG,447.7546867,385.5404068,487.2271254,632.7702844
Sweden,SWE,533.8795292,547.0541742,636.8562364,585.9391701
Norway,NOR,408.7428409,367.6334189,490.2933644,579.2673659
Belgium,BEL,535.8656924,525.2130671,594.3519616,578.6041031
Ireland,IRL,399.3217016,425.8522819,504.1826033,529.2448702
Israel,ISR,402.4705136,413.2676692,488.5265459,522.0334462
United Arab Emirates,ARE,417.9897217,349.4730153,415.0215907,507.5349217
Thailand,THA,543.9766956,500.4572615,505.568057,495.3405928
Nigeria,NGA,474.5174707,432.198936,440.833584,477.3861206
"Egypt, Arab Rep.",EGY,318.6788155,383.8178415,424.6717655,476.7477204
Austria,AUT,444.6211761,435.225238,480.3684039,471.4000661
Singapore,SGP,376.8374883,348.3921749,423.7969954,466.7885397
Bangladesh,BGD,351.2383973,373.9021964,416.2648022,460.2010001
Vietnam,VNM,334.3652579,346.6157502,366.1375907,408.8023791
Malaysia,MYS,365.1777443,337.3394632,372.981073,406.3059247
South Africa,ZAF,388.5312266,337.6195696,419.0156361,405.8697185
Philippines,PHL,376.8234048,361.7511454,394.087362,404.2843273
Denmark,DNK,346.498738,355.2224495,398.3032728,395.4039066
"Iran, Islamic Rep.",IRN,283.6495315,239.7354867,359.0969078,388.5444681
Pakistan,PAK,320.9094729,300.4256092,348.2625447,376.5327518
"Hong Kong SAR, China",HKG,363.0745605,344.9431496,368.9113878,359.8385988
Colombia,COL,323.0317012,270.1509568,318.5118136,343.9394453
Romania,ROU,251.0177976,251.3625341,285.404683,301.2615829
Chile,CHL,278.4933081,254.0961035,316.7135775,301.0252494
Czechia,CZE,252.54818,245.9745587,281.7912185,290.9235347
Finland,FIN,268.514917,271.8860774,296.3876253,280.8259578
Iraq,IRQ,233.6360978,180.9240914,207.6915993,264.1821738
Portugal,PRT,239.9869226,229.0318605,253.9828476,251.9453775
New Zealand,NZL,213.0919872,212.5697796,255.5517046,247.2340537
Peru,PER,228.3258522,201.9476037,223.7177915,242.6315496
Qatar,QAT,176.3712677,144.4113633,179.6771317,237.2955752
Kazakhstan,KAZ,181.667185,171.0823657,197.1122554,220.623002
Greece,GRC,205.2570149,188.9259959,214.8738798,219.0658725
Algeria,DZA,171.7602901,145.7437228,163.4722332,191.9128894
Kuwait,KWT,136.1917526,105.9487652,136.7974223,184.5582743
Hungary,HUN,164.0204603,157.2270944,182.275444,178.7885721
Ukraine,UKR,153.8830455,156.6177198,199.7658568,160.5027392
Morocco,MAR,128.9202651,121.3475336,142.8665831,134.1815878
Ethiopia,ETH,95.91260797,107.6577344,111.2618829,126.7834725
Slovak Republic,SVK,105.7100525,106.7289175,118.6565919,115.468804
Ecuador,ECU,108.108009,99.291124,106.165866,115.049476
Oman,OMN,88.06085826,75.90939766,88.19197737,114.6673602
Dominican Republic,DOM,88.94137198,78.84465583,94.24342649,113.6418574
Puerto Rico,PRI,105.1264,103.1309,106.3689,113.4348
Kenya,KEN,100.3784358,100.6575056,109.7036593,113.4200082
Angola,AGO,69.30911015,50.24136824,65.6854351,106.7136187
Guatemala,GTM,77.17231392,77.71518306,86.05307977,95.00333338
Caribbean small states,CSS,77.28279622,65.99492295,75.67280263,92.93564597
Bulgaria,BGR,68.91193063,70.40435905,84.06139566,89.04039841
Luxembourg,LUX,69.82564185,73.99259129,85.50624383,82.27481225
Uzbekistan,UZB,60.28350371,60.2247013,69.60061499,80.39185388
Azerbaijan,AZE,48.17423529,42.693,54.82541176,78.72105882
Panama,PAN,69.72178753,57.08683694,67.40673805,76.52251178
Tanzania,TZA,61.02676585,66.06873776,70.65562814,75.70928906
Sri Lanka,LKA,89.01497832,84.4405357,88.4965356,74.40357836
